periodo,45-54,55-64,65-74,75+
2006,39.600000000000001,18.100000000000001,5.0999999999999996,
2007,45.600000000000001,21.5,6.5999999999999996,
2008,50.100000000000001,24.600000000000001,8.5999999999999996,
2009,54,29.300000000000001,11.199999999999999,
2010,59.600000000000001,34.600000000000001,13.800000000000001,
2011,64.599999999999994,37.899999999999999,16.199999999999999,
2012,67.400000000000006,43.799999999999997,19,
2013,71.200000000000003,46.5,21.899999999999999,
2014,78.200000000000003,55.399999999999999,26.199999999999999,
2015,82,61.399999999999999,31.300000000000001,
2016,84.900000000000006,64.799999999999997,34.700000000000003,
2017,90.299999999999997,73.900000000000006,43.700000000000003,
2018,91,76.099999999999994,49.100000000000001,
2019,94.400000000000006,86.5,63.600000000000001,23.399999999999999
2020,97.099999999999994,89.5,69.700000000000003,27.899999999999999
2021,98,91,73.299999999999997,31.800000000000001
2022,97.099999999999994,92.400000000000006,76.400000000000006,35.899999999999999
